"TSNA","PFNA","PLNA","PFNA_UPD","PLNA_UPD","PJEN_UPD"
"CHI","ROLB","#58","Leon","Joe",53
"CHI","RE","#73","Claude","Harriott",73
"CIN","FS","#40","Madieu","Williams",40
"CIN","DT","#96","Matthias","Askew",96
"BUF","CB","#37","Jabari","Greer",37
"DEN","LT","#70","Tyson","Clabo",70
"CLE","LT","#65","Kirk","Chambers",65
"SD","C","#61","Nick","Hardwick",61
"SD","LT","#66","Carlos","Joseph",66
"SD","RT","#71","Shane","Olivea",71
"SD","RE","#96","Dave","Ball",96
"KC","LT","#79","Kevin","Sampson",79
"IND","CB","#42","Jason","David",42
"IND","LOLB","#55","Kendyll","Pope",55
"IND","RT","#73","Jake","Scott",73
"DAL","CB","#27","Bruce","Thornton",25
"DAL","RG","#60","Stephen","Peterman",60
"DAL","RT","#79","Jacob","Rogers",79
"MIA","ROLB","#51","Tony","Bua",51
"MIA","C","#66","Rex","Hadnot",66
"PHI","CB","#31","Dexter","Wynn",31
"PHI","HB","#35","Bruce","Perry",35
"PHI","LT","#66","Trey","Darilek",66
"SF","SS","#28","Keith","Lewis",28
"NYJ","FS","#26","Erik","Coleman",26
"NYJ","RE","#97","Trevor","Johnson",97
"GB","C","#63","Scott","Wells",63
"CAR","C","#66","Toby","Cecil",66
"STL","CB","#27","Corey","Yates",27
"STL","RT","#69","Joel","Hofmann",69
"STL","LE","#95","Anthony","Hargrove",95
"BAL","LG","#65","Monreko","Crittendon",65
"SEA","LG","#75","Sean","Locklear",75
"HOU","LOLB","#50","Charlie","Anderson",50
"TEN","C","#64","Eugene","Amano",64
"TEN","RE","#95","Bo","Schobel",95
"FA","TE","#46","Mike","Brake",46
